Yetki,Bölge,Yapılı,Eşyalı,Fiyat,Bölüm,m2,KatSayısı
0,Mustafa Kemal,0,0,7250,3,144.0,18.0
0,Mustafa Kemal,0,0,3500,1,102.0,16.0
0,Mustafa Kemal,0,0,4500,1,122.0,16.0
0,Mustafa Kemal,0,0,5000,1,137.0,16.0
0,Mustafa Kemal,0,0,9500,1,259.0,16.0
0,Mustafa Kemal,0,0,15000,1,396.0,16.0
0,Mustafa Kemal,0,0,27000,1,1.0,16.0
0,Söğütözü,0,0,12500,9,380.0,22.0
0,Söğütözü,1,0,5500,1,187.0,24.0
0,Söğütözü,0,0,3750,4,89.0,24.0
1,Söğütözü,0,0,9000,1,215.0,33.0
1,Söğütözü,0,0,20000,2,1300.0,22.0
1,Söğütözü,0,0,9000,1,210.0,24.0
1,Söğütözü,0,0,26000,27,840.0,22.0
1,Söğütözü,0,0,32000,4,871.0,34.0
1,Söğütözü,0,0,8500,1,215.0,34.0
1,Söğütözü,0,0,18500,2,435.0,34.0
1,Söğütözü,0,0,24000,3,656.0,34.0
1,Söğütözü,0,0,12000,1,266.0,34.0
1,Söğütözü,0,0,8000,1,220.0,34.0
0,Söğütözü,0,0,32000,1,800.0,24.0
1,Söğütözü,0,0,4750,2,119.0,32.0
1,Söğütözü,0,0,10500,1,215.0,30.0
0,Söğütözü,1,0,5500,1,187.0,24.0
0,Söğütözü,1,0,10000,2,170.0,35.0
0,Söğütözü,1,1,4000,3,60.0,33.0
1,Söğütözü,0,0,10750,1,169.0,32.0
1,Söğütözü,0,0,20100,2,330.0,32.0
1,Söğütözü,0,0,22950,2,338.0,32.0
1,Söğütözü,0,0,26000,28,900.0,22.0
1,Söğütözü,0,0,7950,1,165.0,32.0
0,Söğütözü,0,0,44450,4,675.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,9950,1,32.0,32.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,0,0,11800,2,196.0,32.0
1,Söğütözü,0,0,15900,2,32.0,32.0
1,Söğütözü,0,0,8000,1,220.0,34.0
1,Söğütözü,0,0,12000,1,266.0,34.0
1,Söğütözü,0,0,31000,3,656.0,34.0
1,Söğütözü,0,0,42000,4,871.0,34.0
0,Söğütözü,1,0,8500,3,215.0,34.0
1,Söğütözü,0,0,18500,2,435.0,34.0
0,Söğütözü,0,0,9200,1,160.0,32.0
1,Söğütözü,0,0,11400,1,190.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,43000,10,1100.0,7.0
0,Söğütözü,1,0,3000,3,75.0,27.0
0,Söğütözü,1,0,3300,3,75.0,27.0
0,Söğütözü,1,0,5800,3,143.0,25.0
0,Söğütözü,1,0,5000,4,112.0,34.0
0,Söğütözü,0,0,3000,4,112.0,27.0
1,Söğütözü,0,0,5150,4,112.0,27.0
0,Söğütözü,0,0,2900,4,66.0,27.0
0,Söğütözü,0,0,5250,4,112.0,27.0
0,Söğütözü,0,0,4650,4,112.0,27.0
0,Söğütözü,0,0,6500,1,210.0,22.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,9450,1,165.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,11400,1,190.0,32.0
1,Söğütözü,0,0,44450,4,625.0,32.0
1,Söğütözü,0,0,44450,1,625.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
0,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,9200,1,160.0,32.0
1,Söğütözü,0,0,8000,1,160.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,9200,1,160.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,9500,1,165.0,32.0
1,Söğütözü,0,0,11400,1,190.0,32.0
1,Söğütözü,0,0,11800,1,190.0,32.0
1,Söğütözü,0,0,8100,1,165.0,32.0
1,Söğütözü,0,0,9450,1,165.0,32.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,0,0,8100,1,165.0,32.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,0,0,11750,1,194.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,15700,1,325.0,32.0
1,Söğütözü,0,0,9500,1,165.0,32.0
0,Söğütözü,0,0,7000,5,169.0,22.0
1,Söğütözü,0,0,15700,1,325.0,32.0
1,Söğütözü,0,0,5250,6,165.0,25.0
1,Söğütözü,0,0,11000,11,330.0,25.0
1,Söğütözü,0,0,15000,13,330.0,25.0
1,Söğütözü,0,0,26000,24,660.0,25.0
0,Söğütözü,1,0,12000,6,225.0,22.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,11750,1,194.0,32.0
0,Söğütözü,0,0,4500,2,103.0,24.0
1,Söğütözü,0,0,11800,1,190.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
0,Söğütözü,0,0,2750,3,66.0,33.0
0,Söğütözü,0,0,10000,6,190.0,29.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,300,1,65.0,32.0
0,Söğütözü,1,0,5500,1,187.0,24.0
0,Söğütözü,0,0,3500,1,95.0,20.0
1,Söğütözü,0,0,8100,1,165.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,9950,1,165.0,32.0
1,Söğütözü,0,0,11800,1,190.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
0,Söğütözü,0,0,3500,3,66.0,27.0
1,Söğütözü,0,0,10750,1,169.0,32.0
1,Söğütözü,0,0,12000,1,196.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,1,0,5900,4,140.0,22.0
1,Söğütözü,0,0,4250,3,84.0,27.0
0,Söğütözü,1,0,30000,9,500.0,24.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,9200,1,160.0,32.0
1,Söğütözü,0,0,11400,1,190.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
